+---------+-----------+----------+---------------+
|artist_id|first_name |last_name |continent_count|
|48       |John       |Walsh     |4              |
|49       |David      |Williams  |4              |
|50       |Steven     |Torres    |4              |
|51       |Antonio    |Russell   |4              |
|55       |Andre      |Blake     |4              |
|60       |James      |Ellis     |4              |
|61       |Andrea     |Valenzuela|4              |
|69       |Kayla      |Jones     |4              |
|77       |Wyatt      |Lucas     |4              |
|82       |Brianna    |Wheeler   |4              |
|88       |Kayla      |Howell    |4              |
|89       |Emma       |Ewing     |4              |
|90       |Jeffrey    |Nelson    |4              |
|91       |Audrey     |Sanders   |4              |
|92       |Robert     |Sanchez   |4              |
|94       |Harold     |Nichols   |4              |
|96       |James      |Pruitt    |4              |
|98       |Elizabeth  |Blevins   |4              |
|100      |Rachel     |Torres    |4              |
|107      |Gabrielle  |Edwards   |4              |
|112      |Charles    |Mcgee     |4              |
|117      |John       |Simmons   |4              |
|118      |Sarah      |Pope      |4              |
|119      |Bruce      |Smith     |4              |
|121      |Matthew    |Wright    |4              |
|127      |William    |Walsh     |4              |
|135      |Mandy      |Malone    |4              |
|138      |Amber      |Sullivan  |4              |
|141      |Ryan       |Hernandez |4              |
|146      |Jaime      |Green     |4              |
|148      |Susan      |Myers     |4              |
|163      |Matthew    |Morgan    |4              |
|167      |Felicia    |Jones     |4              |
|175      |Allison    |Zavala    |4              |
|192      |Kyle       |Watson    |4              |
|202      |Benjamin   |Love      |4              |
|214      |Arthur     |Lam       |4              |
|217      |Heather    |Brown     |4              |
|222      |Michelle   |Smith     |4              |
|225      |Deborah    |Welch     |4              |
|229      |Dean       |Hubbard   |4              |
|245      |Joshua     |Smith     |4              |
|253      |Sarah      |Williams  |4              |
|257      |Amy        |Price     |4              |
|259      |James      |Marsh     |4              |
|266      |Jacob      |Juarez    |4              |
|267      |Megan      |Vaughn    |4              |
|268      |Jason      |Moore     |4              |
|270      |Jessica    |Johnson   |4              |
|278      |Nicole     |Butler    |4              |
|284      |Louis      |Williams  |4              |
|286      |Cole       |Manning   |4              |
|288      |Amy        |Moran     |4              |
|292      |Amber      |Jennings  |4              |
|293      |Jason      |Baker     |4              |
|5        |Matthew    |Gilbert   |3              |
|9        |Alexis     |Cobb      |3              |
|13       |Laura      |Swanson   |3              |
|22       |Phillip    |Hernandez |3              |
|24       |Jonathan   |Floyd     |3              |
|29       |Kristin    |Watson    |3              |
|31       |Diane      |Ellis     |3              |
|34       |Isabella   |Ochoa     |3              |
|42       |Carl       |Holland   |3              |
|47       |Ashley     |Mills     |3              |
|53       |Vanessa    |Castaneda |3              |
|70       |Melissa    |Roy       |3              |
|76       |Louis      |Todd      |3              |
|80       |Richard    |Bautista  |3              |
|83       |Adam       |Mayer     |3              |
|86       |Andrea     |Sanford   |3              |
|99       |Leslie     |Coleman   |3              |
|103      |Michele    |Garcia    |3              |
|109      |Cassandra  |Scott     |3              |
|128      |Denise     |Cole      |3              |
|134      |Douglas    |Wilson    |3              |
|139      |William    |Hall      |3              |
|144      |Amber      |Quinn     |3              |
|149      |Andre      |Phillips  |3              |
|150      |Andrew     |Wade      |3              |
|151      |Christopher|Davis     |3              |
|154      |Erin       |Mckenzie  |3              |
|159      |Lisa       |Kaiser    |3              |
|164      |Angela     |Hunt      |3              |
|170      |Mindy      |Mendez    |3              |
|172      |Jordan     |Bennett   |3              |
|193      |Nathan     |Sharp     |3              |
|199      |Sandra     |Atkins    |3              |
|219      |Robin      |Smith     |3              |
|223      |Aaron      |Ayers     |3              |
|231      |Brenda     |Anderson  |3              |
|232      |Robert     |Jones     |3              |
|240      |Gavin      |Crawford  |3              |
|243      |Michael    |Lee       |3              |
|248      |Jennifer   |Jacobs    |3              |
|261      |Erin       |Flores    |3              |
|272      |Ashley     |Adams     |3              |
|279      |Mark       |Blake     |3              |
|287      |Vincent    |Fischer   |3              |
|290      |Jenny      |Robinson  |3              |
|294      |Christopher|Johns     |3              |
|295      |Shawn      |Anderson  |3              |
|299      |Richard    |Mooney    |3              |
+---------+-----------+----------+---------------+
